0: f-arabic:	[388: f-mandarin (0.85486436092)]	[214: f-german (0.853046371361)]	[466: f-portuguese (0.852571603814)]	[443: m-polish (0.851850352364)]	[266: m-italian (0.849391917444)]	[655: m-spanish (0.848949883933)]	[514: f-russian (0.847720781125)]	[38: m-arabic (0.847177913415)]	[173: f-french (0.84676065418)]	[401: m-mandarin (0.844714583698)]	
576: f-spanish:	[135: m-dutch (0.835905054937)]	[698: m-turkish (0.835099502633)]	[492: m-portuguese (0.827952323027)]	[316: f-korean (0.827657441928)]	[310: f-korean (0.822101977521)]	[505: f-russian (0.820575156967)]	[703: m-turkish (0.818703481824)]	[503: f-russian (0.815950082935)]	[664: m-spanish (0.8159305602)]	[385: f-mandarin (0.814574089333)]	
577: f-spanish:	[251: f-italian (0.922773583826)]	[279: f-japanese (0.912521281229)]	[353: f-macedonian (0.912370454975)]	[502: f-russian (0.910078639356)]	[166: f-french (0.908846373068)]	[112: f-dutch (0.908448445096)]	[167: f-french (0.90795268409)]	[564: f-spanish (0.905198498489)]	[599: m-spanish (0.904470387412)]	[79: m-arabic (0.904224831065)]	
578: f-spanish:	[398: f-mandarin (0.89513073141)]	[564: f-spanish (0.886525638742)]	[191: m-french (0.884339165418)]	[257: m-italian (0.882993739213)]	[570: f-spanish (0.875057031403)]	[551: f-spanish (0.87269122221)]	[436: f-polish (0.872253002189)]	[367: f-mandarin (0.87076732664)]	[427: f-polish (0.870357240932)]	[502: f-russian (0.867618568192)]	
579: f-spanish:	[12: f-arabic (0.896346952305)]	[383: f-mandarin (0.89470041473)]	[564: f-spanish (0.888481895975)]	[88: f-cantonese (0.885145558123)]	[120: f-dutch (0.877757449501)]	[398: f-mandarin (0.876674695531)]	[684: f-turkish (0.874949663714)]	[511: f-russian (0.874190731255)]	[316: f-korean (0.873819677233)]	[577: f-spanish (0.873014126576)]	
580: f-spanish:	[257: m-italian (0.842433655292)]	[245: f-italian (0.839549642616)]	[168: f-french (0.838143560467)]	[574: f-spanish (0.833655320611)]	[565: f-spanish (0.831532922098)]	[288: f-japanese (0.829728204149)]	[556: f-spanish (0.828874302248)]	[548: f-spanish (0.828502147155)]	[437: m-polish (0.828178413314)]	[384: f-mandarin (0.827593205327)]	
581: f-spanish:	[164: f-french (0.925464825854)]	[187: m-french (0.924137406719)]	[21: f-arabic (0.917518876218)]	[308: f-korean (0.917411604382)]	[688: m-turkish (0.915011439303)]	[124: f-dutch (0.913670365652)]	[632: m-spanish (0.913440731346)]	[225: f-german (0.911478758692)]	[356: f-macedonian (0.910205359348)]	[74: m-arabic (0.909579817965)]	
582: f-spanish:	[505: f-russian (0.807667853926)]	[310: f-korean (0.806281774945)]	[107: f-dutch (0.80094817548)]	[553: f-spanish (0.800001626032)]	[429: f-polish (0.797872396928)]	[389: f-mandarin (0.792230009134)]	[215: f-german (0.792061495038)]	[280: f-japanese (0.790020364001)]	[23: f-arabic (0.789482756761)]	[165: f-french (0.788899342353)]	
583: f-spanish:	[468: f-portuguese (0.883051940363)]	[547: f-spanish (0.877940685177)]	[114: f-dutch (0.877598611522)]	[123: f-dutch (0.874652744472)]	[12: f-arabic (0.873553059062)]	[88: f-cantonese (0.871589276295)]	[218: f-german (0.871413958224)]	[577: f-spanish (0.871282340508)]	[17: f-arabic (0.871083505265)]	[157: f-french (0.869713712706)]	
584: f-spanish:	[280: f-japanese (0.890402354845)]	[593: f-spanish (0.884145280346)]	[251: f-italian (0.883642303016)]	[552: f-spanish (0.883079972561)]	[662: m-spanish (0.875504350161)]	[28: f-arabic (0.873282863167)]	[88: f-cantonese (0.873155606561)]	[141: m-dutch (0.870631151497)]	[367: f-mandarin (0.870076371617)]	[553: f-spanish (0.86711580536)]	
585: f-spanish:	[278: f-japanese (0.84349105221)]	[374: f-mandarin (0.840399689345)]	[366: f-mandarin (0.836841756327)]	[385: f-mandarin (0.833069017173)]	[24: f-arabic (0.832004841963)]	[265: m-italian (0.828563038918)]	[201: m-french (0.826411969539)]	[369: f-mandarin (0.825515193639)]	[574: f-spanish (0.822193854951)]	[571: f-spanish (0.821759512689)]	
586: f-spanish:	[351: f-macedonian (0.907465459224)]	[40: m-arabic (0.907312505629)]	[515: f-russian (0.885294543478)]	[540: m-russian (0.871013481501)]	[356: f-macedonian (0.870266800199)]	[471: f-portuguese (0.86879511139)]	[528: m-russian (0.86846445836)]	[124: f-dutch (0.867457152845)]	[167: f-french (0.866956276473)]	[114: f-dutch (0.86590602943)]	
587: f-spanish:	[659: m-spanish (0.839422159396)]	[333: m-korean (0.838586966079)]	[75: m-arabic (0.826736740813)]	[698: m-turkish (0.822360640468)]	[606: m-spanish (0.81921653217)]	[605: m-spanish (0.80973194004)]	[57: m-arabic (0.809372022892)]	[294: m-japanese (0.808999902592)]	[445: m-polish (0.805079623669)]	[492: m-portuguese (0.800793052513)]	
588: f-spanish:	[36: m-arabic (0.906759580316)]	[398: f-mandarin (0.905796406784)]	[167: f-french (0.904118136812)]	[88: f-cantonese (0.9000814038)]	[281: f-japanese (0.899952601386)]	[397: f-mandarin (0.897693805589)]	[343: f-macedonian (0.897545491014)]	[280: f-japanese (0.896742840819)]	[22: f-arabic (0.895439641679)]	[507: f-russian (0.893901767463)]	
589: f-spanish:	[547: f-spanish (0.902724128546)]	[459: f-portuguese (0.887882782503)]	[218: f-german (0.884429322684)]	[251: f-italian (0.884217942346)]	[468: f-portuguese (0.884209019485)]	[305: f-korean (0.883869354918)]	[88: f-cantonese (0.883670318553)]	[22: f-arabic (0.882554682426)]	[460: f-portuguese (0.880073078242)]	[122: f-dutch (0.87739644322)]	
590: f-spanish:	[398: f-mandarin (0.909159689553)]	[88: f-cantonese (0.89630050382)]	[129: f-dutch (0.892991708879)]	[593: f-spanish (0.890616904026)]	[370: f-mandarin (0.88240589581)]	[687: f-turkish (0.88233061578)]	[387: f-mandarin (0.880760820928)]	[394: f-mandarin (0.880484266615)]	[425: f-polish (0.877724619545)]	[216: f-german (0.876549648236)]	
591: f-spanish:	[684: f-turkish (0.908747582727)]	[593: f-spanish (0.908420391562)]	[552: f-spanish (0.903541696023)]	[397: f-mandarin (0.903524433178)]	[94: f-cantonese (0.897727180707)]	[554: f-spanish (0.895433517954)]	[171: f-french (0.895083112054)]	[356: f-macedonian (0.892606926419)]	[307: f-korean (0.891641196361)]	[28: f-arabic (0.891563269883)]	
592: f-spanish:	[93: f-cantonese (0.947573812307)]	[74: m-arabic (0.944083551999)]	[480: m-portuguese (0.93773531591)]	[415: m-mandarin (0.931692377776)]	[656: m-spanish (0.929259934372)]	[632: m-spanish (0.928170579081)]	[350: f-macedonian (0.928004215516)]	[572: f-spanish (0.927751106169)]	[203: m-french (0.926703792295)]	[254: m-italian (0.92597509958)]	
593: f-spanish:	[552: f-spanish (0.935487438417)]	[251: f-italian (0.933877406721)]	[88: f-cantonese (0.926575974948)]	[123: f-dutch (0.926210371896)]	[94: f-cantonese (0.925198857486)]	[108: f-dutch (0.924025135106)]	[356: f-macedonian (0.922922490014)]	[301: f-korean (0.920946110753)]	[397: f-mandarin (0.920517008256)]	[116: f-dutch (0.920501299983)]	
594: f-spanish:	[699: m-turkish (0.85329727034)]	[584: f-spanish (0.853066305059)]	[28: f-arabic (0.850282607945)]	[552: f-spanish (0.848291801362)]	[316: f-korean (0.839351041278)]	[593: f-spanish (0.837048646259)]	[244: f-italian (0.835167021245)]	[589: f-spanish (0.834926690183)]	[37: m-arabic (0.834270785936)]	[514: f-russian (0.832534058299)]	
595: f-spanish:	[397: f-mandarin (0.901814264941)]	[11: f-arabic (0.901371080551)]	[498: f-russian (0.898956144672)]	[398: f-mandarin (0.8967599565)]	[22: f-arabic (0.88690841298)]	[219: f-german (0.885731362681)]	[88: f-cantonese (0.885726368404)]	[40: m-arabic (0.883777111146)]	[251: f-italian (0.882563294712)]	[399: f-mandarin (0.880812572795)]	
596: f-spanish:	[398: f-mandarin (0.877799208215)]	[356: f-macedonian (0.873643920764)]	[287: f-japanese (0.873576106168)]	[595: f-spanish (0.872689090518)]	[515: f-russian (0.872301453713)]	[534: m-russian (0.872297799698)]	[507: f-russian (0.871352722909)]	[397: f-mandarin (0.870574434233)]	[130: f-dutch (0.869727910492)]	[49: m-arabic (0.868475976997)]	
597: m-spanish:	[333: m-korean (0.829290241807)]	[619: m-spanish (0.82027354501)]	[252: m-italian (0.81865247443)]	[269: m-italian (0.815030953526)]	[273: m-italian (0.813371655823)]	[489: m-portuguese (0.807390115781)]	[479: m-portuguese (0.806825674134)]	[57: m-arabic (0.805889689663)]	[418: m-mandarin (0.799585480592)]	[56: m-arabic (0.797653052064)]	
598: m-spanish:	[50: m-arabic (0.884154429348)]	[80: m-arabic (0.861332835323)]	[646: m-spanish (0.857610928259)]	[90: f-cantonese (0.853455407844)]	[614: m-spanish (0.8529115222)]	[54: m-arabic (0.850940462924)]	[207: m-french (0.849644627664)]	[413: m-mandarin (0.845615192682)]	[619: m-spanish (0.836612435536)]	[613: m-spanish (0.834983043001)]	
599: m-spanish:	[684: f-turkish (0.924920085141)]	[279: f-japanese (0.923627258776)]	[21: f-arabic (0.92320994019)]	[652: m-spanish (0.922214970181)]	[564: f-spanish (0.922209128088)]	[157: f-french (0.922199514165)]	[120: f-dutch (0.920628863192)]	[517: f-russian (0.920474140567)]	[346: f-macedonian (0.919178057963)]	[457: f-portuguese (0.918575442398)]	
600: m-spanish:	[429: f-polish (0.868962751368)]	[201: m-french (0.857067914174)]	[193: m-french (0.855223574009)]	[310: f-korean (0.852917237221)]	[280: f-japanese (0.845188796011)]	[655: m-spanish (0.842567435428)]	[23: f-arabic (0.841445454518)]	[665: m-spanish (0.839215287014)]	[673: m-spanish (0.838016903606)]	[0: f-arabic (0.836405815299)]	
601: m-spanish:	[464: f-portuguese (0.902558352294)]	[229: f-german (0.900844407084)]	[162: f-french (0.899841268174)]	[149: m-dutch (0.899804302928)]	[109: f-dutch (0.895528794049)]	[699: m-turkish (0.891024826662)]	[398: f-mandarin (0.891001263544)]	[218: f-german (0.890166441215)]	[11: f-arabic (0.88551319568)]	[129: f-dutch (0.885070483488)]	
602: m-spanish:	[535: m-russian (0.880476632129)]	[201: m-french (0.852760049156)]	[671: m-spanish (0.847453653214)]	[310: f-korean (0.847054496642)]	[533: m-russian (0.844980351543)]	[401: m-mandarin (0.838615634677)]	[483: m-portuguese (0.836498533356)]	[142: m-dutch (0.835760072774)]	[199: m-french (0.835603824638)]	[385: f-mandarin (0.834825011525)]	
603: m-spanish:	[445: m-polish (0.852403215778)]	[138: m-dutch (0.841624043689)]	[377: f-mandarin (0.840167806625)]	[139: m-dutch (0.839191723661)]	[365: m-macedonian (0.835486359686)]	[535: m-russian (0.835124968057)]	[670: m-spanish (0.834156149528)]	[606: m-spanish (0.833941977352)]	[220: f-german (0.832966726332)]	[505: f-russian (0.830990035354)]	
604: m-spanish:	[656: m-spanish (0.962381113224)]	[480: m-portuguese (0.959995040165)]	[362: m-macedonian (0.95871962502)]	[328: m-korean (0.952697354916)]	[255: m-italian (0.952317937561)]	[440: m-polish (0.949463767534)]	[242: m-german (0.946211653934)]	[74: m-arabic (0.943471036583)]	[243: m-german (0.941563207281)]	[100: m-cantonese (0.941250960353)]	
605: m-spanish:	[186: m-french (0.859156959079)]	[522: m-russian (0.850115546577)]	[539: m-russian (0.841516741284)]	[75: m-arabic (0.828864703455)]	[698: m-turkish (0.828258632899)]	[620: m-spanish (0.824477012763)]	[241: m-german (0.822266997225)]	[533: m-russian (0.818537708445)]	[252: m-italian (0.816924055955)]	[400: m-mandarin (0.816091710679)]	
606: m-spanish:	[418: m-mandarin (0.877877957932)]	[37: m-arabic (0.872903159204)]	[269: m-italian (0.872474135453)]	[698: m-turkish (0.871702264995)]	[230: m-german (0.870506093421)]	[524: m-russian (0.869383662329)]	[365: m-macedonian (0.869012692479)]	[373: f-mandarin (0.86847624599)]	[337: m-korean (0.867362618181)]	[509: f-russian (0.863848422476)]	
607: m-spanish:	[502: f-russian (0.879233190072)]	[118: f-dutch (0.865538443967)]	[301: f-korean (0.862627812202)]	[577: f-spanish (0.861139383188)]	[17: f-arabic (0.860193833868)]	[203: m-french (0.856702946429)]	[287: f-japanese (0.856231580434)]	[688: m-turkish (0.856038308232)]	[351: f-macedonian (0.855419637089)]	[347: f-macedonian (0.855370731749)]	
608: m-spanish:	[78: m-arabic (0.85601761938)]	[663: m-spanish (0.855941080709)]	[37: m-arabic (0.852578695762)]	[139: m-dutch (0.851899559614)]	[257: m-italian (0.850821239844)]	[246: f-italian (0.848728859386)]	[375: f-mandarin (0.84837401807)]	[429: f-polish (0.847955922041)]	[698: m-turkish (0.847791286489)]	[664: m-spanish (0.845585824305)]	
609: m-spanish:	[611: m-spanish (0.825490809262)]	[30: m-arabic (0.82477739761)]	[550: f-spanish (0.816241016187)]	[689: m-turkish (0.815061445707)]	[466: f-portuguese (0.81423892775)]	[235: m-german (0.811507700204)]	[535: m-russian (0.811084802067)]	[34: m-arabic (0.810820987915)]	[606: m-spanish (0.80776380832)]	[418: m-mandarin (0.806479184519)]	
610: m-spanish:	[699: m-turkish (0.868497066826)]	[37: m-arabic (0.863092886648)]	[473: m-portuguese (0.862750107591)]	[28: f-arabic (0.856492924019)]	[372: f-mandarin (0.855791189434)]	[513: f-russian (0.847800136124)]	[190: m-french (0.846897009411)]	[216: f-german (0.845462513309)]	[703: m-turkish (0.844498385949)]	[11: f-arabic (0.843731690788)]	
611: m-spanish:	[609: m-spanish (0.825490809262)]	[449: m-polish (0.811694306599)]	[623: m-spanish (0.810264691999)]	[208: m-french (0.805550097247)]	[185: m-french (0.803531159467)]	[446: m-polish (0.798828506541)]	[412: m-mandarin (0.794817772071)]	[241: m-german (0.792321349943)]	[633: m-spanish (0.790886766904)]	[539: m-russian (0.789914966649)]	
612: m-spanish:	[293: m-japanese (0.837945351282)]	[365: m-macedonian (0.822356319622)]	[331: m-korean (0.811648900554)]	[4: f-arabic (0.810257775301)]	[598: m-spanish (0.808081454436)]	[57: m-arabic (0.800198556877)]	[483: m-portuguese (0.795310809394)]	[273: m-italian (0.792654821374)]	[646: m-spanish (0.788763373864)]	[296: m-japanese (0.787724514984)]	
613: m-spanish:	[55: m-arabic (0.858049933489)]	[385: f-mandarin (0.850326244695)]	[565: f-spanish (0.848311621448)]	[620: m-spanish (0.847534865294)]	[32: m-arabic (0.839139666976)]	[598: m-spanish (0.834983043001)]	[240: m-german (0.834534057577)]	[364: m-macedonian (0.830719383939)]	[304: f-korean (0.829491980799)]	[82: m-arabic (0.829465170391)]	
614: m-spanish:	[598: m-spanish (0.8529115222)]	[50: m-arabic (0.847551764152)]	[533: m-russian (0.82930594026)]	[562: f-spanish (0.819286026006)]	[240: m-german (0.818429490721)]	[420: m-mandarin (0.816480787915)]	[608: m-spanish (0.811980533705)]	[273: m-italian (0.80537750933)]	[304: f-korean (0.805253104878)]	[620: m-spanish (0.805231826935)]	
615: m-spanish:	[340: m-korean (0.833835013912)]	[698: m-turkish (0.8240306692)]	[273: m-italian (0.824006020913)]	[289: m-japanese (0.820170651789)]	[176: f-french (0.813629382951)]	[54: m-arabic (0.812003431377)]	[101: m-cantonese (0.810760778738)]	[293: m-japanese (0.8101462632)]	[421: m-mandarin (0.804336705531)]	[291: m-japanese (0.802855362229)]	
616: m-spanish:	[65: m-arabic (0.795331885329)]	[625: m-spanish (0.78146911958)]	[331: m-korean (0.777432615336)]	[449: m-polish (0.777359949408)]	[54: m-arabic (0.774684652411)]	[575: f-spanish (0.774149485481)]	[384: f-mandarin (0.769231076689)]	[185: m-french (0.768441196217)]	[252: m-italian (0.768062317239)]	[631: m-spanish (0.767097041426)]	
617: m-spanish:	[54: m-arabic (0.854927732353)]	[473: m-portuguese (0.844321005663)]	[698: m-turkish (0.842589410642)]	[570: f-spanish (0.841737291867)]	[598: m-spanish (0.83492552392)]	[622: m-spanish (0.834439436613)]	[37: m-arabic (0.834373687441)]	[492: m-portuguese (0.833578305474)]	[377: f-mandarin (0.832857187509)]	[438: m-polish (0.829933682642)]	
618: m-spanish:	[563: f-spanish (0.866372500946)]	[473: m-portuguese (0.862382971728)]	[505: f-russian (0.858669817096)]	[304: f-korean (0.851272732497)]	[499: f-russian (0.850641764523)]	[37: m-arabic (0.849947855526)]	[77: m-arabic (0.849224364882)]	[159: f-french (0.844676077453)]	[48: m-arabic (0.844211983027)]	[374: f-mandarin (0.84311579338)]	
619: m-spanish:	[273: m-italian (0.855062910414)]	[73: m-arabic (0.854171654775)]	[689: m-turkish (0.847347199515)]	[133: m-dutch (0.846391582707)]	[54: m-arabic (0.845745323454)]	[622: m-spanish (0.844274042119)]	[240: m-german (0.843317858146)]	[479: m-portuguese (0.842982263419)]	[598: m-spanish (0.836612435536)]	[77: m-arabic (0.8355912767)]	
620: m-spanish:	[625: m-spanish (0.885275586955)]	[401: m-mandarin (0.862479276271)]	[309: f-korean (0.862293907907)]	[55: m-arabic (0.859053533119)]	[257: m-italian (0.858299320067)]	[413: m-mandarin (0.857069939979)]	[50: m-arabic (0.856126418738)]	[420: m-mandarin (0.854820645653)]	[384: f-mandarin (0.853771447105)]	[560: f-spanish (0.852476897015)]	
621: m-spanish:	[65: m-arabic (0.823544257409)]	[670: m-spanish (0.82122679368)]	[227: f-german (0.816873425492)]	[54: m-arabic (0.81621598125)]	[698: m-turkish (0.81222889197)]	[176: f-french (0.801339123042)]	[188: m-french (0.801336402213)]	[177: f-french (0.79936205421)]	[407: m-mandarin (0.797697130252)]	[257: m-italian (0.794727585829)]	
622: m-spanish:	[54: m-arabic (0.852469755221)]	[273: m-italian (0.849558967812)]	[619: m-spanish (0.844274042119)]	[133: m-dutch (0.842358525622)]	[617: m-spanish (0.834439436613)]	[375: f-mandarin (0.833625630784)]	[291: m-japanese (0.824824962597)]	[34: m-arabic (0.820242361518)]	[139: m-dutch (0.820138806253)]	[489: m-portuguese (0.820110887592)]	
623: m-spanish:	[133: m-dutch (0.845053130661)]	[438: m-polish (0.843584906143)]	[137: m-dutch (0.842569543931)]	[54: m-arabic (0.839812646731)]	[413: m-mandarin (0.837450484975)]	[417: m-mandarin (0.833822018655)]	[452: m-polish (0.826971474703)]	[66: m-arabic (0.824227992154)]	[659: m-spanish (0.823065273396)]	[619: m-spanish (0.822130114982)]	
624: m-spanish:	[550: f-spanish (0.795034436884)]	[273: m-italian (0.788737623085)]	[294: m-japanese (0.787872404175)]	[416: m-mandarin (0.784938879885)]	[612: m-spanish (0.78255004665)]	[597: m-spanish (0.782404199996)]	[628: m-spanish (0.782379729085)]	[657: m-spanish (0.780126407863)]	[271: m-italian (0.778284562954)]	[333: m-korean (0.778026084739)]	
625: m-spanish:	[620: m-spanish (0.885275586955)]	[420: m-mandarin (0.839358688623)]	[389: f-mandarin (0.838239218365)]	[549: f-spanish (0.834294315234)]	[410: m-mandarin (0.833165116774)]	[413: m-mandarin (0.832663037915)]	[613: m-spanish (0.824974403669)]	[448: m-polish (0.820270891471)]	[59: m-arabic (0.817000926556)]	[673: m-spanish (0.81577325136)]	
626: m-spanish:	[563: f-spanish (0.806084314673)]	[697: m-turkish (0.804828824234)]	[473: m-portuguese (0.804524085376)]	[618: m-spanish (0.799058010494)]	[340: m-korean (0.797964399796)]	[133: m-dutch (0.793693120141)]	[54: m-arabic (0.792907023346)]	[152: f-french (0.789709184937)]	[438: m-polish (0.788067563192)]	[176: f-french (0.784527977864)]	
627: m-spanish:	[663: m-spanish (0.824164032463)]	[54: m-arabic (0.81953201763)]	[613: m-spanish (0.803930077101)]	[565: f-spanish (0.798954039141)]	[670: m-spanish (0.798911155179)]	[288: f-japanese (0.79837954304)]	[445: m-polish (0.796701766039)]	[621: m-spanish (0.794358298629)]	[30: m-arabic (0.793908764403)]	[304: f-korean (0.790675832202)]	
628: m-spanish:	[30: m-arabic (0.848512754884)]	[262: m-italian (0.836486925954)]	[73: m-arabic (0.83561655096)]	[267: m-italian (0.834711037222)]	[403: m-mandarin (0.828128345191)]	[57: m-arabic (0.825481357994)]	[619: m-spanish (0.823820221253)]	[418: m-mandarin (0.818436975708)]	[478: m-portuguese (0.817128168332)]	[294: m-japanese (0.815557437829)]	
629: m-spanish:	[444: m-polish (0.821102935939)]	[294: m-japanese (0.819638477646)]	[424: f-polish (0.819229542948)]	[649: m-spanish (0.815732894515)]	[681: f-turkish (0.813946745098)]	[365: m-macedonian (0.813739790687)]	[262: m-italian (0.812866298311)]	[689: m-turkish (0.811941923828)]	[278: f-japanese (0.811095702246)]	[506: f-russian (0.809650912853)]	
630: m-spanish:	[29: m-arabic (0.812107643455)]	[504: f-russian (0.811785401895)]	[400: m-mandarin (0.799449870446)]	[310: f-korean (0.776607307154)]	[61: m-arabic (0.773948422365)]	[200: m-french (0.772074164721)]	[30: m-arabic (0.771319087777)]	[575: f-spanish (0.769904723729)]	[31: m-arabic (0.769404409931)]	[474: m-portuguese (0.769213914501)]	
631: m-spanish:	[65: m-arabic (0.850204237809)]	[300: f-korean (0.847583408888)]	[606: m-spanish (0.831059404031)]	[384: f-mandarin (0.820911832752)]	[339: m-korean (0.819905082125)]	[54: m-arabic (0.818104751215)]	[561: f-spanish (0.818017906561)]	[293: m-japanese (0.815920854562)]	[50: m-arabic (0.815745319361)]	[331: m-korean (0.814329294925)]	
632: m-spanish:	[255: m-italian (0.948155292883)]	[116: f-dutch (0.946751102745)]	[74: m-arabic (0.944999579775)]	[100: m-cantonese (0.942449312788)]	[308: f-korean (0.940340999285)]	[242: m-german (0.940290455376)]	[362: m-macedonian (0.939941318846)]	[480: m-portuguese (0.938985235917)]	[222: f-german (0.937671067327)]	[21: f-arabic (0.93603017396)]	
633: m-spanish:	[309: f-korean (0.874772115997)]	[268: m-italian (0.86619712788)]	[492: m-portuguese (0.865298862446)]	[195: m-french (0.865236625591)]	[235: m-german (0.850161322338)]	[246: f-italian (0.846987869195)]	[142: m-dutch (0.84610286556)]	[443: m-polish (0.8457813307)]	[664: m-spanish (0.845508720328)]	[366: f-mandarin (0.845407547402)]	
634: m-spanish:	[234: m-german (0.843201875968)]	[75: m-arabic (0.841980820817)]	[294: m-japanese (0.83303309188)]	[144: m-dutch (0.832548549347)]	[638: m-spanish (0.829905178327)]	[360: m-macedonian (0.821861495561)]	[478: m-portuguese (0.820316254435)]	[606: m-spanish (0.81857349056)]	[418: m-mandarin (0.812234974137)]	[239: m-german (0.809790037178)]	
635: m-spanish:	[77: m-arabic (0.816341786802)]	[619: m-spanish (0.814854645549)]	[29: m-arabic (0.808644272563)]	[365: m-macedonian (0.79458689629)]	[269: m-italian (0.791079773849)]	[338: m-korean (0.786276254976)]	[689: m-turkish (0.78534199519)]	[530: m-russian (0.784693917721)]	[73: m-arabic (0.784549581282)]	[75: m-arabic (0.783032197377)]	
636: m-spanish:	[659: m-spanish (0.797069552758)]	[186: m-french (0.795923604864)]	[44: m-arabic (0.792867224981)]	[77: m-arabic (0.790076951072)]	[267: m-italian (0.787642803534)]	[598: m-spanish (0.787319952692)]	[617: m-spanish (0.785614726382)]	[323: m-korean (0.785015205632)]	[34: m-arabic (0.784748702722)]	[633: m-spanish (0.784039676267)]	
637: m-spanish:	[552: f-spanish (0.91547565217)]	[251: f-italian (0.908905303236)]	[564: f-spanish (0.90408961318)]	[106: f-dutch (0.899277358107)]	[249: f-italian (0.898283743637)]	[394: f-mandarin (0.895169473602)]	[122: f-dutch (0.892539046414)]	[543: f-spanish (0.890736225955)]	[467: f-portuguese (0.890527189827)]	[402: m-mandarin (0.890055007208)]	
638: m-spanish:	[233: m-german (0.863404123202)]	[689: m-turkish (0.850493093298)]	[692: m-turkish (0.843779044801)]	[606: m-spanish (0.84108595101)]	[338: m-korean (0.841059271766)]	[54: m-arabic (0.836012575679)]	[230: m-german (0.831487761421)]	[237: m-german (0.831315758023)]	[640: m-spanish (0.830095709026)]	[473: m-portuguese (0.829926333215)]	
639: m-spanish:	[280: f-japanese (0.836059451704)]	[595: f-spanish (0.83426002374)]	[40: m-arabic (0.834192771926)]	[492: m-portuguese (0.830931201018)]	[662: m-spanish (0.828531391873)]	[498: f-russian (0.827976635156)]	[510: f-russian (0.824860901991)]	[193: m-french (0.823689042961)]	[159: f-french (0.82183684199)]	[27: f-arabic (0.820820891157)]	
640: m-spanish:	[77: m-arabic (0.84275555834)]	[698: m-turkish (0.839083859935)]	[633: m-spanish (0.835776553902)]	[294: m-japanese (0.830391672258)]	[638: m-spanish (0.830095709026)]	[54: m-arabic (0.820256488193)]	[365: m-macedonian (0.817344835067)]	[532: m-russian (0.815739747476)]	[70: m-arabic (0.815232238295)]	[606: m-spanish (0.814831312248)]	
641: m-spanish:	[294: m-japanese (0.837090070651)]	[646: m-spanish (0.835461535431)]	[418: m-mandarin (0.827575795838)]	[550: f-spanish (0.819499367702)]	[237: m-german (0.810973126162)]	[264: m-italian (0.80849261317)]	[56: m-arabic (0.803615770782)]	[135: m-dutch (0.803115603768)]	[445: m-polish (0.800855537031)]	[533: m-russian (0.7992026179)]	
642: m-spanish:	[186: m-french (0.830711010128)]	[99: m-cantonese (0.830323133188)]	[575: f-spanish (0.826012876549)]	[273: m-italian (0.824898345779)]	[54: m-arabic (0.818129231243)]	[474: m-portuguese (0.811644831948)]	[475: m-portuguese (0.810469247008)]	[333: m-korean (0.804992143663)]	[294: m-japanese (0.801479045426)]	[240: m-german (0.797042567029)]	
643: m-spanish:	[186: m-french (0.808531592226)]	[99: m-cantonese (0.802455008793)]	[75: m-arabic (0.799530159825)]	[522: m-russian (0.799181396587)]	[698: m-turkish (0.799111114378)]	[503: f-russian (0.79903521674)]	[294: m-japanese (0.798208729531)]	[663: m-spanish (0.798187024308)]	[444: m-polish (0.796359832413)]	[617: m-spanish (0.79541949284)]	
644: m-spanish:	[246: f-italian (0.800936346449)]	[654: m-spanish (0.795563238968)]	[444: m-polish (0.782250196782)]	[506: f-russian (0.777511878267)]	[50: m-arabic (0.769015077149)]	[703: m-turkish (0.764737703007)]	[446: m-polish (0.763661864479)]	[698: m-turkish (0.762877876721)]	[640: m-spanish (0.759403755202)]	[606: m-spanish (0.755971101343)]	
645: m-spanish:	[523: m-russian (0.875352048824)]	[367: f-mandarin (0.871837640656)]	[513: f-russian (0.863723218711)]	[123: f-dutch (0.862443459901)]	[244: f-italian (0.85957733629)]	[391: f-mandarin (0.858042419076)]	[109: f-dutch (0.856843365661)]	[662: m-spanish (0.856686682541)]	[37: m-arabic (0.852234395198)]	[266: m-italian (0.851138865731)]	
646: m-spanish:	[598: m-spanish (0.857610928259)]	[294: m-japanese (0.847492845585)]	[663: m-spanish (0.84151224166)]	[418: m-mandarin (0.836978193606)]	[641: m-spanish (0.835461535431)]	[633: m-spanish (0.83267713959)]	[412: m-mandarin (0.829866983217)]	[237: m-german (0.827453408595)]	[458: f-portuguese (0.826719166476)]	[492: m-portuguese (0.825869109383)]	
647: m-spanish:	[400: m-mandarin (0.818910354478)]	[188: m-french (0.818856421249)]	[384: f-mandarin (0.817160874565)]	[417: m-mandarin (0.813307688693)]	[339: m-korean (0.808385070096)]	[523: m-russian (0.806949840509)]	[493: m-portuguese (0.804890960773)]	[150: f-french (0.8045180774)]	[340: m-korean (0.802296197775)]	[609: m-spanish (0.799483030288)]	
648: m-spanish:	[315: f-korean (0.892510042537)]	[214: f-german (0.884607483054)]	[397: f-mandarin (0.874397164775)]	[498: f-russian (0.874062436331)]	[593: f-spanish (0.872733969779)]	[110: f-dutch (0.87154441983)]	[138: m-dutch (0.8672909108)]	[534: m-russian (0.866152970865)]	[227: f-german (0.865549722995)]	[553: f-spanish (0.864059255063)]	
